week,period,C1_pv,C2_pv,T1_pv,T2_pv,C1_cm,C2_cm,T1_cm,T2_cm
2019-12-30,pre,171329.0,152404.0,211115.0,200414.0,28465.418509204086,35268.83132602136,33089.07553717264,23690.709053874612
2020-01-06,pre,234847.0,182327.0,258237.0,236925.0,34215.29306287531,41499.5854817098,36052.65680382126,34373.89550356451
2020-01-13,pre,232309.0,183334.0,242528.0,227905.0,47426.30204355555,42249.154626650154,37113.9625680164,38843.000406770545
2020-01-20,pre,234312.0,198875.0,321608.0,235899.0,37763.77511425777,38884.11135759928,21524.636718775437,37704.90709465795
2020-01-27,pre,227385.0,182784.0,295975.0,232668.0,42822.17715130051,38027.87873166702,37339.5387505935,39187.85284510425
2020-02-03,pre,198443.0,177423.0,219130.0,224049.0,35932.15943050109,48297.31116581945,42294.38860192799,48344.09236745734
2020-02-10,pre,196486.0,175397.0,253003.0,216663.0,44918.94454243407,40279.07252700488,36707.96005038241,30047.0168684163
2020-02-17,pre,223431.0,183459.0,283434.0,224322.0,33959.41759732949,29713.194476489825,37407.28941783682,34601.24161425829
2020-02-24,pre,240039.0,213769.0,291482.0,249718.0,27437.13838966929,28893.62288436547,36073.36959624836,30334.34854166118
2020-03-02,pre,219489.0,212952.0,272488.0,247829.0,31739.606494110976,36486.901446099284,23564.341954011994,25614.45301700587
2020-03-09,pre,204864.0,233679.0,276533.0,251373.0,46314.935058408184,46895.5157006873,40925.000716791634,36074.53223842245
2020-03-16,pre,243539.0,287661.0,392367.0,315808.0,36699.59534031391,41592.4082712241,29033.438183625738,36686.51938955808
2020-03-23,pre,313368.0,338658.0,457010.0,381421.0,31508.701971119797,39176.93800690533,29047.705716397653,36417.579670695966
2020-03-30,pre,326678.0,345318.0,497008.0,380413.0,42354.27271373274,42501.124281589306,37167.015361206846,36292.11535902461
2020-04-06,pre,323178.0,356058.0,481123.0,388457.0,47603.673093981546,51704.00114644284,38006.17635044905,43503.34280518023
2020-04-13,pre,392072.0,427914.0,606553.0,454981.0,61657.80722285802,68273.63530792326,72162.23776342602,64112.87329994979
2020-04-20,pre,398032.0,435865.0,602679.0,461741.0,80353.34234083022,79901.92169648143,82482.80572877,79533.83029179828
2020-04-27,pre,367725.0,408861.0,543472.0,432188.0,51551.23170470547,65708.85390034103,60773.379322530556,63755.238536721925
2020-05-04,pre,355904.0,391185.0,572686.0,402211.0,60222.35305875814,72175.04578199147,69661.31111898171,61088.90024250627
2020-05-11,pre,370964.0,381126.0,546339.0,425442.0,68916.14588042795,67850.20610594912,74298.04494291454,61853.77639222551
2020-05-18,pre,303225.0,282904.0,340433.0,320084.0,72856.25757087716,63843.34932657622,60788.28547765448,61334.7694369302
2020-05-25,pre,251183.0,232406.0,269085.0,270937.0,65028.448112580394,65373.33712377278,58309.40285270741,62266.79043995998
2020-06-01,pre,196137.0,203397.0,223507.0,218561.0,48041.3008922263,64024.63681135465,57948.78210037208,46216.42954514743
2020-06-08,pre,204972.0,218478.0,237145.0,238317.0,51970.90621579734,59163.97902704198,47022.53012573907,59092.54398814313
2020-06-15,pre,241460.0,221941.0,271624.0,241307.0,60092.08269901147,51973.55963508017,51281.49228166552,56137.52535081545
2020-06-22,pre,241277.0,230722.0,286779.0,262614.0,60062.606238325556,61785.47477107596,58003.68157849764,63997.56555238641
2020-06-29,pre,241278.0,227195.0,282240.0,270122.0,65496.81302593813,53756.78807877568,57487.4048646593,51225.130996489235
2020-07-06,pre,241927.0,231099.0,262796.0,271106.0,53172.59311165791,66947.64004319713,61948.439665858714,56369.47654678124
2020-07-13,pre,240393.0,245808.0,266326.0,275555.0,59066.55800438028,69916.79760642583,73839.72683914019,54754.3475107302
2020-07-20,pre,221740.0,241735.0,245006.0,255788.0,55011.099724374806,63537.498647336455,61848.02661192569,62244.18761456589
2020-07-27,pre,226924.0,228886.0,306474.0,251531.0,52614.94470049382,66143.38027344199,65587.7887590332,51362.26798518401
2020-08-03,pre,257259.0,225948.0,307811.0,252468.0,73526.81513001393,62676.753549892885,66690.49849422688,69224.209875269
2020-08-10,pre,263589.0,240167.0,276144.0,275855.0,61434.225248482035,74580.94806087138,53555.48387977776,77163.25024565942
2020-08-17,pre,244555.0,246683.0,281320.0,285847.0,60619.68403009163,71159.87135446967,59028.19574899495,60336.035671323974
2020-08-24,pre,262634.0,266963.0,326895.0,403301.0,62424.06731237586,66110.26093397597,63288.98336039719,61150.09978468944
2020-08-31,pre,258565.0,249382.0,302954.0,349020.0,63553.34593786981,54598.5787376613,62203.6196873376,61943.0680289341
2020-09-07,pre,299772.0,276090.0,328170.0,429632.0,71714.76727461949,63733.57666243714,51533.70259636495,76547.65170954546
2020-09-14,pre,315502.0,338679.0,405344.0,601111.0,52306.962654903095,59742.92747947063,58871.83696565908,58283.48813723898
2020-09-21,pre,336218.0,359222.0,421683.0,486400.0,65497.36539017997,68270.62957492584,61753.175636655455,62463.37029500089
2020-09-28,pre,316404.0,333249.0,369060.0,484706.0,53151.16177906544,59280.4414122616,52456.67252940954,52551.410072130464
2020-10-05,pre,335423.0,329354.0,376229.0,553424.0,66084.50022752599,67265.58338689178,66485.64899259196,55776.0853474609
2020-10-12,pre,347351.0,320950.0,368633.0,467142.0,54317.66066174127,67803.26408489078,55474.72068536621,58378.04516447235
2020-10-19,pre,321087.0,289311.0,406830.0,329022.0,59584.87140335695,63881.86812848231,77918.32782991782,72660.63315604317
2020-10-26,pre,322274.0,257079.0,327789.0,294568.0,55974.361006195315,60611.612442807826,42336.8962910358,61438.95427499244
2020-11-02,pre,288273.0,239674.0,260028.0,272038.0,51838.37743501938,58155.57947680383,57223.531271738364,73114.04074910963
2020-11-09,pre,313116.0,274289.0,318585.0,305664.0,59075.29276900155,64466.51256253641,57971.40790083708,55796.43703644529
2020-11-16,pre,296044.0,279018.0,322095.0,306016.0,60744.8888836006,62353.64836385087,49384.98072254401,69838.07400292768
2020-11-23,pre,299265.0,279497.0,325493.0,309849.0,72729.18446965498,57920.83692882043,60597.057217163376,62844.34784117549
2020-11-30,pre,290212.0,282462.0,296480.0,288563.0,67202.77062757379,64253.8445933498,64960.14821503855,52431.148435712385
2020-12-07,pre,273004.0,253020.0,262797.0,258442.0,56195.02739142783,58727.81609071714,58808.26627571698,51768.22821732146
2020-12-14,pre,255008.0,237897.0,247147.0,251329.0,48514.421461923106,60466.914502281,54298.81327926242,52143.43223396758
2020-12-21,pre,259885.0,228806.0,257377.0,252362.0,32396.768803508603,39522.89188526112,34732.01419601819,49281.050342598974
2020-12-28,pre,369080.0,312025.0,365949.0,355097.0,57315.250047105816,54025.222205717015,45072.58818441795,51267.46387043125
2021-01-04,pre,327687.0,282748.0,330067.0,324638.0,51671.18554660596,59531.669678990416,43724.03429671144,39017.96055145431
2021-01-11,pre,351058.0,286930.0,332129.0,324358.0,55011.59580619807,62393.68312524157,56959.814287160516,46906.513980102005
2021-01-18,pre,375080.0,308933.0,374169.0,348960.0,63300.74250023357,68953.230360279,70558.40661329983,52429.845755406066
2021-01-25,pre,367056.0,342725.0,408518.0,362277.0,57957.6298213642,70213.50342007166,55601.157490618345,64107.0510401329
2021-02-01,pre,349863.0,288980.0,371661.0,340464.0,55840.686637056824,62926.42212655232,47128.10223770632,53406.00136870161
2021-02-08,pre,336436.0,266467.0,364706.0,316208.0,61709.07000255804,54439.71483464714,54571.82334546371,57452.85208901605
2021-02-15,pre,365339.0,282031.0,398054.0,348477.0,50192.41331851446,59212.46668889373,54136.95250194335,77818.55760401512
2021-02-22,pre,345083.0,275662.0,368258.0,318505.0,46288.28829556193,60286.194485668995,51874.742703136646,58132.8684980372
2021-03-01,pre,318519.0,275559.0,330860.0,305569.0,45224.37617749263,53945.59985367648,46811.68456526003,58313.314219591615
2021-03-08,pre,317960.0,260631.0,324194.0,296156.0,64622.29587478982,55221.29436252206,48240.55050569567,59548.521868456344
2021-03-15,pre,343545.0,278097.0,338547.0,314476.0,54728.77235260457,77670.0972629678,62703.68898562502,68507.34694785866
2021-03-22,pre,348615.0,312486.0,335848.0,321444.0,50698.903624764316,60374.887398706196,48272.34636197915,58992.36922087532
2021-03-29,pre,320210.0,291422.0,335401.0,289613.0,61582.39425585254,64249.01422670864,59119.61945158092,56274.954410286984
2021-04-05,pre,324912.0,286872.0,359177.0,294468.0,44921.21532636556,54897.943151261505,39846.409655056654,58319.73466351625
2021-04-12,pre,345730.0,287081.0,322219.0,305700.0,53646.13944813602,66360.20062093773,40170.35838909896,43561.90527055536
2021-04-19,pre,364388.0,289967.0,327271.0,316173.0,46618.5345428548,63575.457937843676,42329.44662791042,54158.71968537657
2021-04-26,pre,347569.0,296097.0,332851.0,309722.0,49440.72997414067,53235.69972468892,36314.24201460069,47320.99512787262
2021-05-03,pre,361223.0,307104.0,342091.0,321735.0,52211.20239346308,58770.78923731247,52493.96596676389,45767.73442108629
2021-05-10,pre,352970.0,285084.0,397205.0,305063.0,60662.603615999025,56517.34648628997,58205.547102041804,38455.874309625804
2021-05-17,pre,374366.0,275811.0,357582.0,292028.0,45694.85011801537,57725.340541374055,53454.95819065301,38336.055296075756
2021-05-24,pre,337225.0,283301.0,341751.0,304290.0,37257.75580179159,49500.96284789421,34745.95910097388,39225.40791798392
2021-05-31,pre,332734.0,273601.0,326213.0,294802.0,39993.625350347655,54671.6997995038,41236.14399730878,44322.06625118286
2021-06-07,pre,309243.0,252877.0,289191.0,271484.0,30933.6970140753,53959.660603419616,43548.31578060886,34511.95905498408
2021-06-14,pre,309440.0,253408.0,310036.0,283969.0,27586.360835212312,43254.384953433415,30817.02576331905,49748.6776745537
2021-06-21,pre,330404.0,268930.0,341607.0,306005.0,12682.07956885865,40638.01287494198,24157.25727598844,20808.085259513537
2021-06-28,pre,307675.0,248575.0,305176.0,281343.0,21740.863286974036,46637.68872589396,20568.807039912375,43493.641396325984
2021-07-05,pre,324658.0,271606.0,321081.0,311879.0,38219.604793825376,39361.494758582914,26561.855134343212,42551.16820354491
2021-07-12,pre,328084.0,257111.0,316054.0,305347.0,31422.845530719867,46396.36849201378,32946.60734963512,40272.232882678974
2021-07-19,pre,319349.0,250695.0,309239.0,295369.0,39734.32743532941,60761.95243725981,37093.77924996799,45256.97957495938
2021-07-26,pre,320369.0,254630.0,301430.0,289456.0,35146.70043941954,45738.9320593912,23344.364763775997,49359.52066025974
2021-08-02,pre,307627.0,254815.0,305795.0,282824.0,41535.066952318324,44472.50241294556,47703.821766264315,48474.21668195955
2021-08-09,pre,329928.0,263455.0,334503.0,289213.0,39147.472978575606,48558.27873241462,34383.71373649746,48198.008620907225
2021-08-16,pre,331819.0,271583.0,329988.0,299443.0,45923.54442940443,58004.912785700006,40130.281616039654,47619.94817825032
2021-08-23,pre,359930.0,298178.0,346789.0,327338.0,36926.733099441095,60450.27635562028,47738.153938050775,45708.31251022533
2021-08-30,pre,372138.0,301094.0,361908.0,330155.0,32268.949266310497,58274.62193252513,38628.30588455797,48169.02574077516
2021-09-06,pre,343026.0,293064.0,339159.0,318900.0,41160.311027869786,65950.51377493476,52384.51252013625,53542.54411477682
2021-09-13,pre,344812.0,286933.0,352296.0,322448.0,53965.69870759998,55407.483387679546,44847.187117189285,59499.86511072328
2021-09-20,pre,350659.0,291447.0,366034.0,317625.0,46999.52291864272,52364.72119727131,39347.95466077728,51470.64647181713
2021-09-27,pre,344690.0,291346.0,351099.0,326185.0,53041.781525087434,54243.520770718605,46413.7256117058,50936.12584668752
2021-10-04,pre,383411.0,313044.0,415389.0,352230.0,47058.26257491613,59922.86090924671,38457.51108139649,46137.83229596028
2021-10-11,pre,367469.0,312922.0,400973.0,333811.0,32232.667070354346,47860.62219893569,42348.422667840605,52906.3815817242
2021-10-18,pre,205374.0,184582.0,205543.0,187566.0,28707.318451138053,36196.5379648893,20378.05832397269,33069.58565760135
2021-10-22,post,150583.0,128801.0,152737.0,142101.0,18689.303397429518,19521.722453310733,15272.79046510042,17989.96082549776
2021-10-25,post,338047.0,278857.0,338941.0,337347.0,36994.67321198695,60932.295066760205,45813.079787730385,52708.18284594189
2021-11-01,post,322200.0,277510.0,311047.0,315865.0,57382.12903830621,59092.65115558311,47012.27651986902,57703.00404144127
2021-11-08,post,322780.0,311672.0,335131.0,348030.0,32495.067165643715,42581.4812427993,23965.989879924542,-4041.212051598902
2021-11-15,post,302840.0,272292.0,321276.0,304044.0,46683.59566322888,49555.04805869195,44758.758405269415,51388.0162483372
2021-11-22,post,289888.0,242482.0,298065.0,279869.0,50181.49796402852,49691.7173218585,42790.78971207873,61293.61352410104
2021-11-29,post,285344.0,256343.0,306150.0,281938.0,29593.442435777724,42503.317921784015,28891.49758798322,42149.93575078223
2021-12-06,post,119546.0,103126.0,121540.0,113791.0,12956.70625497369,11131.949201797446,9357.113105767927,18805.475110608084
